Name	Description	chrom	type	start_hg19	end_hg19	strand	ts_id	gene_type	gene_status	loci_level	alias_symbol	official_name	SNP	SNP_chr	SNP_pos_hg19	dist	cap4_enhancer_no	fantom5_enhancer_no	neuron_count	oligo_count	micro_count	fantom5	cap4	DTS	neuron_P	micro_P	oligo_P	weight	pp	num
ENSG00000157426	AASDH	chr4	gene	57204456	57253666	-	ENSG00000157426.8	protein_coding	KNOWN	1	AASDH	AASDH	rs7684253	chr4	57727311	473645	176	0	0	0	9	1	0.0508637236084453	0.467370441458733	1	0.119961612284069	1	0.760633099230722	5.90667454223272e-05	3
ENSG00000181409	AATK	chr17	gene	79091095	79139877	-	ENSG00000181409.7	protein_coding	KNOWN	2	AATK	AATK	rs7220465,rs17857135	chr17	78260011	877716	69	7	0	0	0	0.100767754318618	0.389635316698656	0.873320537428023	1	1	1	0.135452622802416	0.000118133490844654	6
ENSG00000023839	ABCC2	chr10	gene	101542489	101611949	+	ENSG00000023839.6	protein_coding	KNOWN	2	ABCC2	ABCC2	rs12260159	chr10	100702737	839752	128	2	0	0	0	0.31573896353167	0.143953934740883	0.844529750479846	1	1	1	0.16897531484106	5.90667454223272e-05	3
ENSG00000106077	ABHD11	chr7	gene	73150424	73153197	-	ENSG00000106077.13	protein_coding	KNOWN	1	ABHD11	ABHD11	rs202203062	chr7	72857718	295479	0	3	1	0	5	0.231285988483685	1	0.313819577735125	0.343570057581574	0.190019193857965	1	2.22730128732867	0.000905690096475684	46
ENSG00000204427	ABHD16A	chr6	gene	31654726	31671221	-	ENSG00000204427.7	protein_coding	KNOWN	1	ABHD16A	ABHD16A	rs140002913	chr6	32206049	534828	41	3	11	6	18	0.231285988483685	0.531669865642994	0.531669865642994	0.0671785028790787	0.0479846449136276	0.0854126679462572	3.33213451582998	0.00159480212640284	81
ENSG00000138443	ABI2	chr2	gene	204192942	204301606	+	ENSG00000138443.10	protein_coding	KNOWN	1	ABI2	ABI2	rs149163995,rs138556413	chr2	203777226	360075	0	2	10	0	0	0.31573896353167	1	0.366602687140115	0.0738963531669866	1	1	3.60856841416637	0.00506005119117937	257
ENSG00000151498	ACAD8	chr11	gene	134123389	134135749	+	ENSG00000151498.6	protein_coding	KNOWN	2	ACAD8	ACAD8	rs561561	chr11	133829706	293683	93	0	0	0	0	1	0.294625719769674	0.310940499040307	1	1	1	1.16815370652098	0.000413467217956291	21
ENSG00000196177	ACADSB	chr10	gene	124768495	124817827	+	ENSG00000196177.7	protein_coding	KNOWN	1	ACADSB	ACADSB	rs2223089	chr10	124210160	558335	232	0	0	0	0	1	0.017274472168906	0.554702495201535	1	1	1	0.589323353640935	0.000531600708800945	27
ENSG00000173124	C10orf129	chr10	gene	96953957	96988685	+	ENSG00000173124.9	protein_coding	KNOWN	2	C10orf129	ACSM6	rs11187838,rs75473620,rs10786156	chr10	96038686	915271	127	0	0	0	0	1	0.149712092130518	0.898272552783109	1	1	1	0.10728174583572	1.96889151407757e-05	1
ENSG00000169717	ACTRT2	chr1	gene	2938046	2939465	+	ENSG00000169717.4	protein_coding	KNOWN	2	ACTRT2	ACTRT2	rs2651899,rs2075968,rs12135062,rs10218452	chr1	3083712	137551	60	1	0	0	0	0.464491362763916	0.438579654510557	0.140115163147793	1	1	1	1.96529060060498	0.000334711557393188	17
ENSG00000151651	ADAM8	chr10	gene	135075907	135090372	-	ENSG00000151651.11	protein_coding	KNOWN	2	ADAM8	ADAM8	rs3793683	chr10	134568387	521985	0	10	0	0	0	0.0700575815738964	1	0.517274472168906	1	1	1	0.659181651404315	0.000315022642252412	16
ENSG00000143382	ADAMTSL4	chr1	gene	150521884	150533413	+	ENSG00000143382.8	protein_coding	KNOWN	2	ADAMTSL4	ADAMTSL4	rs6693567	chr1	150510660	11224	141	0	3	0	2	1	0.113243761996161	0.0115163147792706	0.260076775431862	0.291746641074856	1	5.81076897395892	0.00626107501476669	318
ENSG00000065457	ADAT1	chr16	gene	75630879	75657198	-	ENSG00000065457.5	protein_coding	KNOWN	2	ADAT1	ADAT1	rs77505915	chr16	75442143	215055	39	1	1	4	5	0.464491362763916	0.54510556621881	0.214971209213052	0.343570057581574	0.190019193857965	0.126679462571977	2.60561540637088	0.000118133490844654	6
ENSG00000148926	ADM	chr11	gene	10326227	10328944	+	ENSG00000148926.5	protein_coding	KNOWN	2	ADM	ADM	rs4910165	chr11	10674044	347817	95	10	12	6	24	0.0700575815738964	0.277351247600768	0.35700575815739	0.0575815738963532	0.0268714011516315	0.0854126679462572	3.88455602813138	0.00092537901161646	47
